SyncID,Name
BP_0.5,Bauphase 0.5
BP_3,Bauphase 3
BP_4,Bauphase 4
BP_6,Bauphase 6
BP_7.1,Bauphase 7.1
BP_7.2,Bauphase 7.2
BP_7.3,Bauphase 7.3
BP_8,Bauphase 8
BP_8.1,Bauphase 8.1
BP_8.5,Bauphase 8.5
BP_9,Bauphase 9
BP_10,Bauphase 10
BP_10.5,Bauphase 10.5
BP_11,Bauphase 11
BP_11.01,Bauphase 11.01
BP_11.02,Bauphase 11.02
BP_12,Bauphase 12
BP_12.5,Bauphase 12.5
BP_13,Bauphase 13
BP_14,Bauphase 14
BP_15,Bauphase 15
BP_20,Bauphase 20
RB_1,Rueckbauphase 1
RB_2,Rueckbauphase 2
RB_8,Rueckbauphase 8
RB_20.5,Rueckbauphase 20.5
RB_21,Rueckbauphase 21
